title,content,date,cleaned_content,sentiment,sentiment_label
淘宝提前全国全量上线“闪购”业务,"Ubuntu 25.10Questing Quokka 
2025-05-02 320",2025-05-02,Ubuntu25.10 QuestingQuokka2025 05 02320,0.06576117526558167,负面
贸易战暴露中国对美国汽车芯片的依赖,"4125%
iPhone
90% 
2024412010%
 (TI) (Infineon ) (NXP) (STMicroelectronics) (Renesas)
NVIDIA15%
4100%",2025-05-02,4125% iPhone90% 2024412010% TI Infineon NXP STMicroelectronics Renesas NVIDIA15% 4100%,0.10443518621765868,负面
关税不是苹果的心腹大患 AI才是,"iPhoneiPadMacApple WatchAirPods
9
330
4 iPhoneMaciPadApple WatchVision ProApple Care+
20259545%2485%3.8%
4iOS18.4AIApple IntelligenceiPhoneAI
Siri3
AI
WWDC
iPhone4682%Mac797%iPad 6415%26612%… [+417 chars]",2025-05-02,iPhoneiPadMacAppleWatchAirPods93304iPhoneMaciPadAppleWatchVisionProAppleCare 20259545% 2485% 3.8% 4iOS18.4 AIAppleIntelligenceiPhoneAISiri3AIWWDCiPhone4682% Mac797% iPad6415% 26612% 417chars,0.008271902619590321,负面
苹果电话会：美国设备“大多数”将来自印度、越南 关税或致Q3成本增加9亿美元,"CEOTim Cook4-6965.4AIApp Store
6iPhoneiPadMacApple WatchAirPods
iPhone250050%
Face ID12190
9
9
1-35%9505%248iPhone2%4%
TechInsightsiPhone 16 Pro300-500
AIAI
WWDC 2024Siri
Apple Intelligence… [+3177 chars]",2025-05-02,CEOTimCook4 6965.4 AIAppStore6iPhoneiPadMacAppleWatchAirPodsiPhone250050% FaceID12190991 35% 9505% 248iPhone2% 4% TechInsightsiPhone16Pro300 500AIAIWWDC2024SiriAppleIntelligence 3177chars,0.010777790757890982,负面
纽约时报：苹果不能没有中国,"iPhone
80%iPhone
80%670
iPhoneAirPods
iPhone
7700
CEO·(Tim Cook)9
·(Gene Munster)3.21.6
1.2
5006%50016401(k)
·(Howard Lutnick)4iPhone
iPhone
 iPhoneMac
20iPhone
TechInsights·(Wayne Lam)… [+97 chars]",2025-05-02,iPhone80% iPhone80% 670iPhoneAirPodsiPhone7700CEO TimCook GeneMunster 3.21 61.25006% 50016401 HowardLutnick 4iPhoneiPhoneiPhoneMac20iPhoneTechInsights WayneLam 97chars,0.029688837488046405,负面
苹果第二财季业绩略超预期 警告关税将增加成本 股价盘后跌4%,"2025329953.6943907.53247.8242.6236.361.651.621.53
iPhone468.4458.44605132%
iPhone2023iPhone 15 Pro
MacMacBook AirMac Studio79.577.7iPad6462
75.279.5
266.5267iCloudApple MusicApple TV+
10004%261… [+101 chars]",2025-05-02,2025329953.6943907 53247.8242 6236.361 651.621 53iPhone468.4458 44605132% iPhone2023iPhone15ProMacMacBookAirMacStudio79.577 7iPad646275.279 5266.5267 iCloudAppleMusicAppleTV 10004% 261 101chars,0.12190394897285306,负面
马斯克怒怼特斯拉换帅报道；苹果库克称关税成本暂不转嫁给消费者，但未来难说；游戏科学获五四青年奖章集体,"5 1 
 CEO ·
Robyn Denholm CEO 
9 
5 2 Tim Cook 3 4~6 9 65.41 
iPhoneiPad 
IT 
 AI  
5 1 CCTV 4 30 AI
AIIT 
 
 CEO ITBEAR
 15  
 4 30 CMO 
4 CMO 
 4 
AI 148    
 AI 148 
 Luis von Ah… [+918 chars]",2025-05-02,51CEO RobynDenholmCEO952TimCook34 6965.41 iPhoneiPadITAI 51CCTV430AIAIIT CEOITBEAR15 430CMO4CMO4AI148 AI148LuisvonAh 918chars,4.5815711557928296e-08,负面
巴菲特股东大会前瞻：执掌伯克希尔60年 巨轮将驶向何方,53·Berkshire Hathaway·Warren Buffett9460538539,2025-05-01,53 BerkshireHathaway WarrenBuffett9460538539,0.44767845850986676,中性
一年亏千亿，裁员2.2万人，垄断40年巨头进入生死年,"20%10.892.234
15
2024IntelCPU14
CPUAMD
01 
AMD19558
8
19578FairchildFairchild
102
1967
1969·7Advanced Micro DevicesAMD
88196418
CPU
197140041972400480081978168086
1993Pentium200164Itani… [+736 chars]",2025-05-01,20% 10.892 234152024IntelCPU14CPUAMD01 AMD19558819578FairchildFairchild10219671969 7AdvancedMicroDevicesAMD88196418CPU1971400419724004800819781680861993Pentium200164Itani 736chars,0.11681415271617379,负面
上海车展四十年：中国汽车的大江大河,"202540
36328
01 1985-1994
1985
737
2
22328PANDA22
*
19831985
209071222200
198519911992
C
19911128
02 1995-2004
199410
19932919961996
19951998751826
199910002000
20%199912183821
*
… [+429 chars]",2025-05-01,2025403632801 1985 19941985737222328PANDA22 19831985209071222200198519911992C1991112802 1995 2004199410199329199619961995199875182619991000200020% 199912183821 429chars,0.014980785186636147,负面
